movie,title,code,content
your_monster,Melissa Barrera Talks Scream Queen Status and Sweater Weather in ‘Your Monster’,A,"Melissa Barrera stars in the horror rom-com Your Monster. Courtesy of Vertical Entertainment  With Halloween right around the corner, its the season of scary movies and all things horror. But jump sc… [+5867 chars]"
wicked,Michelle Yeoh Teases That Her Madame Morrible Character In ‘Wicked’ Film Took Liberties From The Broadway Show,A,"At Saturday night’s L.A. premiere of Wicked, the Madame Morribles compared notes. Specifically, the musical’s Broadway actress Sheryl Lee Ralph and the film’s Michelle Yeoh who plays the head mistres… [+2038 chars]"
heretic,Sophie Thatcher wants to be more than a scream queen,A,"If youve seen Sophie Thatcher in a movie or TV show, shes probably been in, or around, distress. In the past year or so, the 24-year-old American actor has battled evil spirits in The Boogeyman, appl… [+11299 chars]"
your_monster,Surprise! Scream Queen Melissa Barrera Actually Doesn’t Care About Halloween — Exclusive,A,"Melissa Barrera's Your Monster might be the perfect unconventional Halloween movie, but the actress actually isn't a huge fan of the holiday. ""I'm not a big Halloween person,"" she told me at the movi… [+6965 chars]"
venom,The Saga Of Mrs. Chen: Peggy Lu On Becoming A ‘Venom’ Fan Favorite,A,Peggy Lu as Mrs. Chen in Venom (2018)  Courtesy of Sony Pictures  ***WARNING! The following contains light spoilers for Venom: The Last Dance!***  Peggy Lu never expected to spend this much time in t… [+3999 chars]
venom,Venom: The Last Dance: Peggy Lu on Michelle Williams & Marvel Future,A,"Posted in: Interview, Movies, Sony | Tagged: michelle williams, Peggy Lu, sony pictures, tom hardy, venom: the last dance  Peggy Lu (Venom: The Last Dance) spoke to Bleeding Cool about working with M… [+4859 chars]"
venom,Venom: The Last Dance: Peggy Lu on Tom Hardy & Mrs. Chen's Popularity,A,"Posted in: Interview, Movies, Sony, Venom | Tagged: Peggy Lu, tom hardy, Venom 3, venom: the last dance  Peggy Lu (Venom: The Last Dance) spoke to Bleeding Cool about her journey as Mrs. Chen in Sony… [+5432 chars]"
heretic,What Makes Hugh Grant So Charming Is Also What Makes Him a Great Villain in Heretic,A,"IF HUGH GRANT invited you into his cozy dwelling during a freak snow flurry, promising you warmth, lively conversation, and a freshly baked pastry, you wouldnt hesitate, either. This unassailable pre… [+6771 chars]"
wicked,Wicked review: Ariana Grande and Cynthia Erivo defy all expectations in spellbinding adaptation,A,"Over the past few weeks, the seemingly endless press cycle for Jon M. Chus epic musical adaptation Wicked has become, its sad to say, horrendible.  Ariana Grande and Cynthia Erivo, who play Glinda th… [+5331 chars]"
heretic,‘He Thinks It's Fun’: Heretic’s Hugh Grant And Sophie Thatcher Dig Into The Special Way The New Horror Movie Conjures Scares,A,"Scott Beck and Bryan Woods’ Heretic is unquestionably a horror film, but it’s an atypical example of the genre. While aficionados are well-cognizant of jump scares and bloody violence, the new releas… [+3102 chars]"
gladiator_ii,‘Gladiator II’ Review: Paul Mescal And Denzel Washington Power Ridley Scott’s Long Awaited Sequel To His Only Best Picture Oscar Winner,A,"Sir Ridley Scott didn’t make his first feature film (1977’s The Duellists) when he was already 40 years old. The director, turning 87 at the end of this month, has not wasted any time making up for t… [+6603 chars]"
here,"‘Here’ Goes Nowhere: Tom Hanks, Robin Wright and the AI Gimmick that Fell Flat",A,"Tom Hanks and Robin Wrights reunion in ‘Here’ falls flat. Courtesy of Sony Pictures Entertainment  If you think Tom Hanks cannot make a bad movie, you havent seen Here. This phony, gimmicky and tedio… [+4010 chars]"
wicked,‘Wicked’ Review: Cynthia Erivo & Ariana Grande Dazzle In John M. Chu’s Triumphant Musical,A,"The anthemic song that closes out John M. ChusWickedis titled Defying Gravity. An ode to finding the confidence to trust oneself, the song is a celebration of what it means to defy expectations and, … [+7439 chars]"
wicked,‘Wicked’ Review: Cynthia Erivo & Ariana Grande Dazzle In Jon M. Chu’s Triumphant Musical,A,"The anthemic song that closes out Jon M. ChusWickedis titled Defying Gravity. An ode to finding the confidence to trust oneself, the song is a celebration of what it means to defy expectations and, i… [+7438 chars]"
wicked,‘Wicked’ Review: Cynthia Erivo And Ariana Grande In A Movie Musical Adaptation That Actually Eclipses The Broadway Stage Play,A,"The movie version of Broadway’s beloved musical, Wickedhas been a long time coming since the play’s opening in 2003, but it is finally here, and quite frankly not only soars cinematically, it exceeds… [+5055 chars]"
wicked,‘Wicked’ Reviews: Are Critics Wowed By Cynthia Erivo And Ariana Grande Musical?,A,"""Wicked"" partial posters.  Universal Pictures  Wickedthe movie adaptation of the classic Broadway musical starring Cynthia Erivo and Ariana Grandeis winning over critics.  Directed by Jon M. Chu, the… [+2448 chars]"
here,‘Here’ Reviews: Critics Bash Tom Hanks And Robin Wright Reunion Movie,A,"Robin Wright and Tom Hanks in ""Here.""  Sony Pictures Entertainment  Here a drama that reunites Tom Hanks, Robin Wright and director Robert Zemeckisis being met with mostly negative reviews from critic… [+2980 chars]"
your_monster,‘Your Monster’ Review: Melissa Barrera Finds Musical Ways To Scream Her Rage With Help From A Beastly Tommy Dewey,A,"Just as its female lead is letting her inner rage come bubbling to the surface, the movie, Your Monster, about this young woman is also crying out from the inside to become a full blown Broadway musi… [+4418 chars]"
gladiator_ii,‘The Dog Stars’: Ridley Scott & Paul Mescal To Reunite For Near-Future Thriller At 20th Century,A,"Ridley Scott‘s next film after “Gladiator II” is his Bee Gees biopic, right? Not so fast. Deadline reports that Scott has another upcoming project in the works, and this one sees him potentially rete… [+2193 chars]"
wicked,Addison Rae Says ‘No One’ Deserves to Play Britney Spears in the Singer's Upcoming Biopic,A,"Addison Rae does not want to star as Britney Spears in the singer's forthcoming biopic. Though Rae is a Spears superfan, she says no one truly deserves to play the princess of pop on-screen.  I hones… [+1703 chars]"
wicked,"Ariana Grande, Wicked, And The Era Of Super-Brand Movies",A,"Cynthia Erivo, Ariana Grande at the ""Wicked"" Los Angeles Premiere at the Dorothy Chandler Pavilion ... [+] on November 9, 2024 in Los Angeles, California. (Photo by Gilbert Flores/Variety via Getty I… [+19693 chars]"
gladiator_ii,"Connie Nielsen on returning to ""Gladiator"" after 24 years",A,"Connie Nielsen joined ""CBS Mornings"" to discuss stepping back into the world of ""Gladiator"" to reprise the beloved role of the character Lucilla, 24 years after the original film.  ""I was nervous,"" s… [+2059 chars]"
wicked,"Cynthia Erivo's Latest Wicked Dress Has A Wild Silhouette, But I'm Loving How It's Seemingly A Nod To A Specific Scene We See In The Trailer",A,"Movie musicals have on Best Picture before, and the newest addition to the genre definitely is getting early buzz regarding Awards Season. Rather than an offbeat musical, I'm talking about the film a… [+2456 chars]"
gladiator_ii,Gladiator II Review: Denzel Washington’s Performance Is The Ultimate Champion In Honorable Yet Disheveled Sequel,A,"Looking back, after director Ridley Scott made a name for himself with the science-fiction masterpieces that are Alien and Blade Runner, there was something ironic about him going back to the time of… [+6972 chars]"
gladiator_ii,"Gladiator II,' with Denzel Washington, goes back into the arena",A,Rome teeters on the brink in Ridley Scotts Gladiator II. Its fall is said to be imminent. The dream it once symbolized is dead. The once high-minded ideals of the Roman Empire have deteriorated acros… [+4766 chars]
here,"HERE Review: Tom Hanks, Robert Zemeckis Reunion Disappoints, Underwhelms",A,"As a commercially oriented, artistically ambitious, innovation-embracing filmmaker, Robert Zemeckis (Death Becomes Her, the Back to the Future trilogy, Romancing the Stone) enjoyed an unparalleled pr… [+5655 chars]"
heretic,Heretic Reveals Real People That Inspired Hugh Grant’s Sinister Character,A,"The new horror movie Heretic features Hugh Grant as “Mr. Reed,” a reclusive man living in a house that holds some dark secrets. When two Mormon girls acting as missionaries show up on Reed’s doorstep… [+1742 chars]"
heretic,Heretic review: a must-see thriller with a killer lead performance,A,"Heretic is a house of cards. It is a playful, thoughtfully crafted construction that — much like its talkative antagonist — is ultimately full of air. All it would take is one strong gust of wind or … [+8097 chars]"
heretic,Heretic Review: Hugh Grant Weaponizes His Charm in a Middling Thriller,A,"One of the most refreshing and exciting franchises of the past decade was spawned from 2018’s A Quiet Place. With John Krasinski starring in and directing the project, he earned the lion’s share of t… [+6900 chars]"
heretic,Heretic Review: Hugh Grant’s First Horror Movie Is a Doozy,A,Hugh Grant’s first foray into horror is a memorably nasty A24 flick that deals with pretty provocative subject matter.   PLOT: Two Mormons (Chloe East and Sophie Thatcher) on a mission knock on the w… [+3538 chars]
heretic,Hugh Grant Goes Full Villain in ‘Heretic’—But Who’s Really Terrified?,A,"From this still, you’d be forgiven for mistaking ‘Heretic’ as another Hugh Grant rom-com. This is an actor who couldnt turn off the charm even if directed to, which nobody does. Kimberley French/Cour… [+4083 chars]"
wicked,Even a Magical Cynthia Erivo Can’t Cast a Spell Strong Enough to Save Wicked,A,"Its a drag to feel youre being held hostage by someone elses nostalgia. The stage show Wicked is beloved by many; its been playing on Broadway for 20 years and counting, which means a lot of little g… [+7701 chars]"
heretic,Heretic reviews: What are the critics saying about the new Hugh Grant horror movie?,A,"Heretic sees Hugh Grant tap into his dark side as an evil Scottish man in this horror thriller.  The film, rated 15A, is the handiwork of the writers of A Quiet Place, Scott Beck and Bryan Woods.  He… [+1799 chars]"
heretic,Hugh Grant's New 2024 Horror Movie Becomes His Top 5 Best-Rated Movie Ever On Rotten Tomatoes,A,"Hugh Grant has made a surprising mark in the horror genre with his latest film, Heretic, which has achieved a remarkable Rotten Tomatoes score. Heretic offers a chilling new perspective on Grant, who… [+3490 chars]"
a_real_pain,Jesse Eisenberg and Kieran Culkin Make a Radiantly Generous Duo in A Real Pain,A,"Nearly everyone knows a person like the character Kieran Culkin plays in A Real Pain, the story of two cousins who trek to Poland to connect with their Jewish roots, and with the past of the grandmot… [+5383 chars]"
a_real_pain,Jesse Eisenberg and Kieran Culkin tap into 'A Real Pain',A,Kieran Culkin and Jesse Eisenberg in A Real Pain.  Searchlight Pictures  The moving dramedy A Real Pain stars Jesse Eisenberg and Kieran Culkin as two very different cousins attempting to reconnect b… [+350 chars]
a_real_pain,Jesse Eisenberg Gives Kieran Culkin a Gift of a Role in A Real Pain: Review,A,"The Pitch: Cousins David and Benji (Jesse Eisenberg, Kieran Culkin) grew up like brothers before drifting apart as adults — something the more straight-laced David hopes to fix, as the two men travel… [+5003 chars]"
gladiator_ii,"Mescal, Scott Re-Team For “The Dog Stars”",A,Ridley Scott and his “Gladiator II” star Paul Mescal are set to reunite for the thriller “The Dog Stars” at 20th Century Studios.  Mescal is in advanced talks to star in the project which is the sci-… [+870 chars]
your_monster,Your Monster Stars Open Up About the Unconventional Love Story,A,"Horror films have a long tradition of featuring monstrous characters who fall for beautiful women, with there being literally hundreds of different love stories that explore entirely unique dynamics.… [+3205 chars]"
your_monster,Your Monster Stars Talk Playing Pivotal Roles in an Unexpected Romance,A,"Even though love stories are often more grounded than bombastic cinema, that doesn’t mean that there aren’t still treacherous villains, and Your Monster is no different. While Melissa Barrera and Tom… [+3266 chars]"
wicked,Wicked' Star Michelle Yeoh On Pranking Ariana Grande & Singing With Cynthia Erivo — Exclusive,A,"We've seen Michelle Yeoh's striking sophistication in Crazy Rich Asians, and seen her kick butt in Everything Everywhere All At Once, but in Wicked, we finally hear her sing! ""I was terrified,"" she e… [+3486 chars]"
a_real_pain,"With ‘A Real Pain,’ Jesse Eisenberg May Have Inspired Kieran Culkin to Direct: ‘If I Did, I Would Want to Do it the Way He Did It’",A,"Though they play diametrically opposed cousins in the recently released film“A Real Pain,”Kieran Culkin and Jesse Eisenberg may be more like-minded in their sensibilities than people might think. Tak… [+2509 chars]"
pageant,Everyone’s Favorite Rom-Com Bestie Finally Has a Movie of Her Own. Why Did It Have to Be This One?,A,"For years now, an online shop called Super Yaki has been selling T-shirts and hats printed with the message Judy Greer shouldve been the lead. That there is a market for such merch is a testament to … [+5575 chars]"
gladiator_ii,"Movie Review: 'Gladiator II,' with Denzel Washington, goes back into the arena",A,Rome teeters on the brink in Ridley Scotts Gladiator II. Its fall is said to be imminent. The dream it once symbolized is dead. The once high-minded ideals of the Roman Empire have deteriorated acros… [+4611 chars]
wicked,"Movie Review: ‘Wicked’ fans, rejoicify! Erivo, Grande shine in lavish adaptation of Broadway classic",A,"Its the ultimate celebrity redemption tour, two decades in the making. In the annals of pop culture, few characters have undergone an image makeover quite like the Wicked Witch of the West.  Oh, she … [+5436 chars]"
a_real_pain,"Movie Review: A mercurial Kieran Culkin shines in Jesse Eisenberg’s deft, accomplished ‘A Real Pain’",A,"Its part comedy, part tragedy. Its part road-trip saga, part odd couple-buddy flick, and part Holocaust film. What could possibly have gone wrong?  Yup everything could have gone wrong. So the first … [+5219 chars]"
heretic,One of Our Greatest Rom-Com Stars Has Entered His Villain Era—and He’s Better Than Ever,A,"Heretic, the twisty new A24 horror movie from writer-directors Scott Beck and Bryan Woods, starts with a question: Why would two young female Mormon missionaries enter the house of a sketchy older ma… [+8644 chars]"
conclave,Papal potboiler Conclave lets Ralph Fiennes Cook,A,Conclave (2024 | UK/USA | 120 minutes | Edward Berger)  The Holy Throne of Saint Peter is vacant. Edward Berger churns a satisfying political potboiler in the Vatican as the titular conclave of Cardi… [+3337 chars]
gladiator_ii,"Paul Mescal on meeting King Charles: ‘I’m, like, Irish, so it’s not on the list of priorities’",A,"Gladiator II premiered in Los Angeles last night, following the big royal premiere in London last week. Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen and more came out for both premier… [+4122 chars]"
gladiator_ii,Paul Mescal was underwhelmed meeting King Charles at ‘Gladiator II’ London premiere: ‘I’m Irish’,A,Paul Mescal is spilling some royal tea.   The 28-year-old revealed he didn’t anticipate meeting King CharlesIII at the “Gladiator II” premiere in London last week.  “Never met the king [before that n… [+2598 chars]
wicked,"Post-‘Wicked,’ Cynthia Erivo’s Production Company Signs First-Look Film Deal with Universal Pictures",A,"Universal Pictures finds Cynthia Erivo so bewitching that it has signed her production company, Edith’s Daughter, to a first-look film deal.  Erivo can soon be seen starring as Elphaba in Universal’s… [+2225 chars]"
heretic,Review: ‘Heretic’ horror flick weaponizes Hugh Grant’s charm,A,"If “A Quiet Place” — the screenplay that put writers Scott Beck and Bryan Woods on the map — was a rather tight-lipped, high-concept monster movie where the characters could rarely speak, “Heretic,” … [+3849 chars]"
gladiator_ii,Review: Paul Mescal aims for the big leagues in Gladiator II - so is it any good?,A,"PAUL MESCAL MIGHT be the hottest Irish export right now, but he still has some things to prove. For starters: can he hold his own in a big-budget action film made by a legendary Hollywood director?  … [+8285 chars]"
heretic,Sophie Thatcher Channels Mazzy Star on Her Cover of Bob Dylan’s ‘Knockin’ on Heaven’s Door’,A,"Bob Dylan‘s “Knockin’ on Heaven’s Door” has been covered by everyone from Avril Lavigne to the Grateful Dead — and, most famously, by Guns N’ Roses, who made it a hit in the early Nineties. Now, actr… [+4860 chars]"
a_real_pain,The captivating charm of Kieran Culkin,A,"For 42-year-old Kieran Culkin, visiting the building in Manhattan's Yorkville neighborhood where he spent the first eight years of his life brings back unusual memories. ""I remember my mom baking a c… [+6624 chars]"
conclave,There can only be one pope in the delightfully preposterous 'Conclave',A,Ralph Fiennes in Conclave.  Focus Features  The new movie Conclave is a fun and twisty political thriller. Ralph Fiennes plays a cardinal tasked to managing the secretive process in which the pope is… [+425 chars]
wicked,There's only one problem with 'Wicked' — and it's not Ariana Grande and Cynthia Erivo's stunning performances,A,"""Wicked"" is expansive, indulgent, and a few minutes too long. It's also extraordinarily, immersively good.  Directed by Jon M. Chu (""Crazy Rich Asians"") and starring Broadway and pop music's biggest … [+5211 chars]"
wicked,There's only one problem with 'Wicked' — and it's not Ariana Grande and Cynthia Erivo's stunning performances,A,"Cynthia Erivo and Ariana Grande in ""Wicked.""Universal Pictures""Wicked,"" directed by Jon M. Chu, is a film adaptation of the iconic stage musical well, just act one.Cynthia Erivo and Ariana Grande's i… [+146 chars]"
conclave,This new slow-burn thriller features one of 2024’s best performances,A,"Conclave doesn’t just feel like an Agatha Christie mystery — it also begins like one. The film’s opening moments follow its beleaguered protagonist, Thomas Cardinal Lawrence (Ralph Fiennes), as he hu… [+5863 chars]"
a_real_pain,"Time Moves On: Jesse Eisenberg on ""A Real Pain""",A,"In Jesse Eisenberg's ""A Real Pain,"" now in theaters, two cousins reunite for a tour through Poland in honor of their recently deceased grandmother, who lived there before the Holocaust. Hoping that t… [+15464 chars]"
here,Tom Hanks on Reuniting Onscreen with His 'Forrest Gump' Costar Robin Wright,A,"Tom Hanks says it was ""so easy"" reconnecting with Robin Wright on the set of their new film Here.   Speaking on the red carpet of the movie's world premiereat AFI Fest in Los Angeles on Friday, Oct. … [+3135 chars]"
here,"Tom Hanks, Robin Wright didn’t 'hang out’ while filming ‘Forrest Gump’ for a very Forrest Gump reason",A,"Its been 30 years since Tom Hanks and Robin Wright starred in the Academy Award-winning classic Forrest Gump, but theyve only recently gotten to spend time together on set.   The pair and the 1994 fi… [+2187 chars]"
venom,VENOM: THE LAST DANCE Star Tom Hardy Would Return For A LOGAN-Style Movie...With An R-Rating!,A,"At this point, the Venom franchise is what it is. Ask most fans, and they'd say it should have picked up with Eddie Brock after clashing with Spider-Man for an R-Rated series of movies about him serv… [+2533 chars]"
a_real_pain,Why Jesse Eisenberg felt like a ‘hack’ on ‘A Real Pain’ set with Kieran Culkin: I felt ‘embarrassed’,A,"Jesse Eisenberg was humbled by co-star Kieran Culkin on the set of their new movie, “A Real Pain.”  Eisenberg, who wrote and directed the movie, tells Page Six he felt like a “hack” and embarrassed h… [+2989 chars]"
conclave,"Governors Awards Present Honorary Oscars To Juliet Taylor, Quincy Jones, Richard Curtis & Bond Producers In Emotional Kickoff To A Long Season",AN,"If you had any doubt that the awards season was in full swing, Sunday night’s 15th Annual Governors Awards ceremony answered it.   If you are, or in any way think you might have a shot at an Oscar no… [+10268 chars]"
a_real_pain,"Awards Season Is Already in Full Swing — A Starry, Teary Academy Governors Awards Is Just the Start",AN,"The 15th annual Academy Governors Awards on Sunday night brought tears and laughs to the Ray Dolby Ballroom in Hollywood, as usual packed with Oscar hopefuls and AMPAS voters as the awards season get… [+11279 chars]"
conclave,"Awards Season Is Already in Full Swing — A Starry, Teary Academy Governors Awards Is Just the Start",AN,"The 15th annual Academy Governors Awards on Sunday night brought tears and laughs to the Ray Dolby Ballroom in Hollywood, as usual packed with Oscar hopefuls and AMPAS voters as the awards season get… [+11279 chars]"
gladiator_ii,"Awards Season Is Already in Full Swing — A Starry, Teary Academy Governors Awards Is Just the Start",AN,"The 15th annual Academy Governors Awards on Sunday night brought tears and laughs to the Ray Dolby Ballroom in Hollywood, as usual packed with Oscar hopefuls and AMPAS voters as the awards season get… [+11279 chars]"
conclave,‘Conclave’ Prays for Oscar Attention: How Do Religious Movies Perform With Academy Voters?,AN,"Will the Oscars answer “Conclave’s” prayers?  Edward Berger’s mystery thriller has been one of the buzziest films to emerge from the fall festivals. Adapted from Robert Harris’ 2016 novel, the film p… [+7211 chars]"
